1,0,2,1,0,1,2,1
0,1,0,1,1,1,27,0
49729,36301,69869,16762571,12373,16848,599910,176866
18961,16750148,23839,16744320,2023,7404,38520,16758425
16762241,16746384,16760099,17189,12407,4371,365026,69192
18720,20211,75196,28306,9318,2565,237522,147094
26239,16750146,29468,16748303,10742,5377,6813,16767560
22693,16748674,15324,29491,26096,8771,1771123,70873
16746547,16772465,10523,26788,7304,6035,926691,69947
13874,16747810,9388,16758604,20222,4034,1010174,399007
13292,11600,29110,16751026,18723,12729,1526184,207806
16749113,16775811,16768838,16744394,21153,4465,319379,98604
13377,16761189,16750543,25349,10299,3963,455054,66633
16746761,16756551,13344,22623,20210,4382,1166710,16753912
13019,23334,16774402,20746,19653,8132,1776215,265848
15133,27766,16751675,16747236,13346,3752,26696,139864
5489,5273,2733,2034,1494,509,14566,13798
1500,10398,11668,12394,3679,1355,335308,16999
16764077,16745617,16749832,20792,13456,19243,962336,149083
13888,1644,4168,14582,6828,705,39718,20557
9425,681,18660,10597,7850,1197,417429,47114
16755873,19703,6739,19013,9819,9864,314953,149823
16357,21656,20452,16752696,18454,2972,32475,16749022
89585,20037,21332,22415,9952,3669,40451,38125
3886,2877,4641,3323,661,783,1280485,71132
4,1,3,1,1,2,49,11
107,606,418,329,92,16777092,11980,254
52402,80253,16757530,22618,16751850,25054,826516,414510
20512,6458,26095,16745879,4673,2617,82998,16755358
11176,12559,19366,16600,10631,2144,280999,16776734
7685,8736,14009,4485,3224,637,60405,5580
3085,29462,5700,6016,4258,1065,1757940,16758328
2346,5650,5303,5178,408,183,586855,16769899
1,1,0,1,0,0,59,3
16748486,10712,12911,5730,4151,6485,177596,16751529
16765795,16759347,32327,24824,17982,4650,227068,48306
1581,26619,10962,13950,5888,4958,26229,24008
27321,14037,25513,12200,4912,2293,70350,53888
16093,29351,15742,15345,9057,8409,16762096,16750648
16757650,16749449,16749160,16755274,25652,3096,16751003,27828
16755246,16751915,66517,21289,12627,3919,18591,16753167
61442,16747988,16759112,16747410,8662,3802,76927,120562
23340,16753620,22055,15205,8656,3140,140850,21989
1755,16755384,24241,12834,10284,5005,161670,16749367
17818,32595,19505,16748477,20856,7524,58386,27327
8328,998,15906,6392,3163,468,62753,32632
70354,81219,14145,13623,7088,6456,17814,40635
8649,72500,16745157,18884,12042,6352,23674,16763398
16759540,16765173,23119,23310,19083,2306,16749173,16769667
65932,7628,16753582,28277,6486,4318,76556,16755544
2327,11225,10069,13462,6548,4638,161252,127258
154525,61023,16765356,19423,13969,12784,2344845,181502
0,0,1,1,0,1,42,5
3850,2077,608,487,360,16777141,74468,2768
107339,93702,16749581,31050,16138,22912,92667,396209
16755832,16745057,25452,16575,8745,16962,96393,16745083
41555,16755496,13373,14779,16293,3394,228603,133087
8526,17604,68640,16745649,14762,3873,787656,54663
20933,24370,30806,16749318,13347,5146,19931,23127
16745039,16750760,17833,24572,4603,1931,16752506,68836
9045,8139,4126,4089,2012,1295,181756,16750353
16754799,5040,21159,23788,5206,11519,16771682,16746018
7862,3197,8944,10866,2999,1652,5813,7393
16575,16755723,8672,10994,7152,2845,16765754,16747448
24343,16758032,16767490,26269,24070,11320,574735,142260
6936,28755,26311,20275,6229,9007,150173,143313
16760323,16748120,16774678,20746,7052,4175,70221,16747291
32633,23854,6946,19029,8789,6543,30922,16770507
13556,8546,32530,16139,15881,4108,16748283,43311
14638,16758672,7065,16828,10655,4557,26337,30401
9392,8565,18689,25996,16868,7356,22418,27164
16762699,22465,16764460,29628,5228,5721,24705,78633
4655,17047,160766,23242,11030,5305,192910,16751676
23000,5670,19415,32047,10334,4855,16750195,28072
18513,14530,16303,22286,6869,1819,17027,16747470
29258,10529,16770678,20492,5587,3436,16767940,16745298
7439,15004,16747404,6460,8503,2483,46957,16759665
16763377,24343,16746937,28005,4901,2212,216493,66852
16744991,18156,21367,23880,8570,3305,167778,16761226
7754,13972,17445,20652,9566,8586,16756326,15049
2148,3767,4365,2104,1824,516,90019,13865
16747114,8888,21688,28751,17366,5279,47598,86573
24985,28924,16757982,14207,6811,2370,18061,17594
16775649,16750875,16788,24368,9719,3459,77791,16759362
13692,3069,5308,4021,930,848,246355,4236
15841,5253,5094,2003,827,391,238248,16765883
6301,1993,1732,1908,512,256,245934,16763445
1866,6885,8578,3311,504,188,72337,13858
22002,12963,9410,27413,11568,11246,385298,16776277
10826,12562,19890,15880,8312,4365,16772880,16747667
12938,12210,25269,16745166,30109,3283,26099,16751691
10498,16776022,12116,30401,9905,3896,87148,13723
11192,14988,11864,17420,13353,7218,16753225,36018
19426,16746586,17418,17615,6204,3653,12926,29161
16745723,2185,10266,3034,2720,854,16766462,10715
21135,16517,30669,32051,12882,6993,180346,82227
83203,9424,13849,19307,13460,3320,74384,30235
6061,4996,6179,5754,2205,1031,34227,2957
16753206,14385,16073,23580,29641,5672,29400,16746317
32078,23292,16745508,28898,4062,1840,367314,16759504
25026,22149,6142,16744468,9671,4492,16756543,65459
15453,37146,11679,14081,6617,11223,111261,16750305
32276,17658,15947,30544,19329,2266,193651,16770567
16757140,10389,11878,14451,14114,3598,131771,53181
76007,19400,29547,29913,10043,3301,167201,16763969
14733,9105,5958,27505,4080,3137,97501,73252
5526,6313,25456,21168,11565,6793,602144,13323
1969,4291,5561,4359,2508,1636,16762035,16750822
16744840,16768281,29782,19024,3295,1906,22587,83711
24833,20301,22584,15789,17336,3362,165501,68629
16756283,26989,8853,22800,27293,3850,510773,77592
10368,12278,24858,31005,18630,6611,377451,96131
10889,16770453,8350,8587,11506,1928,36244,16744451
16755345,16749105,16745974,9751,10130,2740,377800,78684
10604,8949,4943,2954,2222,1793,508587,19876
16749205,5085,3031,7590,1084,1054,16766293,18706
16775102,13168,31097,19585,12650,9043,16772482,107760
16747879,16759702,30172,13386,8977,10007,81384,38188
16776535,30700,16030,19510,7868,2719,1507745,214319
8076,2373,10713,7081,4171,1854,139350,7733
16774032,24676,4505,26074,5473,3999,72709,51234
1314,6399,6978,9134,2362,1346,45625,16748345
14877,96580,16752,24949,12465,3242,78011,99198
6719,9082,30581,21092,11401,8208,377119,45656
16757096,10071,16748435,32314,9474,16993,625983,138909
14983,28314,16747366,32116,9339,5164,699019,73343
21245,18949,4796,16744437,12869,4560,89364,160683
35246,24453,25007,16746474,8354,10047,153136,16753422
